artist_name,festival_day,event_date,stage,set_time,billing_tier,headliner_flag,source_url
Dom Dolla,Thursday,2025-07-31,Toyota Music Den,8:30pm - 9:45pm,Headliner,1,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times
2Hollis,Thursday,2025-07-31,Toyota Music Den,7:45pm - 8:30pm,Headliner,1,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times
Alex Warren,Thursday,2025-07-31,Toyota Music Den,7:45pm - 8:30pm,Upper,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times
Cage The Elephant,Thursday,2025-07-31,Toyota Music Den,6:45pm - 7:45pm,Upper,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times
Xaviersobased,Thursday,2025-07-31,Toyota Music Den,6:50pm - 7:30pm,Upper,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times
Overmono,Thursday,2025-07-31,Toyota Music Den,6:30pm - 7:15pm,Upper,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times
Cloonee,Thursday,2025-07-31,Toyota Music Den,5:50pm - 6:50pm,Upper,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times
Role Model,Thursday,2025-07-31,Toyota Music Den,5:45pm - 6:45pm,Upper,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times
Yana,Thursday,2025-07-31,Toyota Music Den,6pm - 6:30pm,Mid,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times
Colby Acuff,Thursday,2025-07-31,Toyota Music Den,5:40pm - 6:20pm,Mid,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times
Sierra Ferrell,Thursday,2025-07-31,Toyota Music Den,4:45pm - 5:45pm,Mid,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times
Jade Lemac,Thursday,2025-07-31,Toyota Music Den,5pm - 5:30pm,Mid,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times
The Blessed Madonna,Thursday,2025-07-31,Toyota Music Den,4:20pm - 5:20pm,Mid,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times
Bo Staloch,Thursday,2025-07-31,Toyota Music Den,4:30pm - 5:10pm,Mid,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times
Fcukers,Thursday,2025-07-31,Toyota Music Den,4pm - 4:45pm,Mid,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times
Half Alive,Thursday,2025-07-31,Toyota Music Den,3:45pm - 4:45pm,Mid,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times
Sofia Camara,Thursday,2025-07-31,Toyota Music Den,4pm - 4:30pm,Mid,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times
Prospa,Thursday,2025-07-31,Toyota Music Den,3:10pm - 4:10pm,Mid,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times
Mark Ambor,Thursday,2025-07-31,Toyota Music Den,3pm - 3:45pm,Mid,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times
